"Title","Author","Download_link","Download_nb","Created","Updated","Size","Game_Version","Flavor","Tags"
"Gotta go Fast - Sonic moveset","foxterf7","/minecraft/mc-mods/gotta-go-fast-sonic-moveset/download/5028837","638","Jun 25, 2023","Jan 13, 2024","295.26 KB","1.20.1","Forge","Mods, MCreator"
"Sword wonderland","captain44gr","/minecraft/mc-mods/sword-wonderland/download/4608589","34","Jun 25, 2023","Jun 25, 2023","213.80 KB","1.19.2","Forge","Mods, Armor, Tools, and Weapons"
"devious's music discs additions","drdeviousahh","/minecraft/mc-mods/deviouss-music-discs-additions/download/4608629","85","Jun 25, 2023","Jun 25, 2023","5.60 MB","1.19.2","Forge","Mods, MCreator"
"Quick Right-Click","Serilum","/minecraft/mc-mods/quick-right-click/download/4976234","47.2K","Jun 25, 2023","Dec 22, 2023","112.60 KB","1.20.2","Fabric Quilt NeoForge Forge + 3","Mods, Utility & QoL, Magic"
"Create Air [Forge]","Silopante","/minecraft/mc-mods/create-air-forge/download/5047180","358.7K","Jun 25, 2023","Jan 20, 2024","56.28 KB","1.20.4","Forge","Mods, Create, Adventure and RPG"
"The Predators","LegendNoob07","/minecraft/mc-mods/the-predators/download/4817793","16.5K","Jun 25, 2023","Oct 26, 2023","1.03 MB","1.19.2","Forge","Mods, Mobs, MCreator, Adventure and RPG"
"KeepCuriosInventory","pOtAto__bOy","/minecraft/mc-mods/keepcuriosinventory/download/4808940","73.1K","Jun 25, 2023","Oct 21, 2023","7.57 KB","1.20.1","Forge","Mods, Server Utility, Utility & QoL"
"The Ethereal John","AerilonLegacyStudios","/minecraft/mc-mods/the-ethereal-john-aether-addon/download/4608405","186","Jun 25, 2023","Jun 25, 2023","4.16 MB","1.19.4","Forge","Mods, Magic, World Gen, Mobs, MCreator"
"Kitchen Karrot","Zoshsgahdnkc","/minecraft/mc-mods/kitchen-karrot/download/5021372","13.9K","Jun 25, 2023","Jan 10, 2024","809.85 KB","1.19.4","Forge","Mods, Cosmetic, Food"
"MTR Utility","Roimu_616","/minecraft/mc-mods/mtr-utility-addon/download/4609655","9.0K","Jun 25, 2023","Jun 26, 2023","559.00 KB","1.19.3","Fabric","Mods, Player Transport, Technology, Automation"
"Inhibited","ACGaming","/minecraft/mc-mods/inhibited/download/4721850","8.4K","Jun 25, 2023","Aug 25, 2023","12.84 KB","1.12.2","Forge","Mods, Miscellaneous, Utility & QoL"
"Better Berries Redux","The_Lemon_Juiced","/minecraft/mc-mods/better-berries-redux/download/4967914","96.5K","Jun 25, 2023","Dec 19, 2023","174.85 KB","1.20.2","NeoForge","Mods, Ores and Resources, Food, World Gen, Farming, Adventure and RPG"
"TFC Aged Alcohol","HermitOwO","/minecraft/mc-mods/tfc-aged-alcohol/download/4895948","19.0K","Jun 25, 2023","Nov 24, 2023","41.65 KB","1.20.1","NeoForge Forge + 1","Mods, Food, Addons"
"Prettyfull World: Blocks and Colors - Forge","frokii_","/minecraft/mc-mods/prettyfull-world-blocks-and-colors-forge/download/4683050","618","Jun 25, 2023","Aug 5, 2023","2.61 MB","1.19.4","Forge","Mods, Miscellaneous, Cosmetic"
"Gimme More Ores","doctor_catster","/minecraft/mc-mods/gimme-more-ores/download/4608095","5","Jun 25, 2023","Jun 25, 2023","111.99 KB","1.12.2","Forge","Mods, MCreator, Ores and Resources"
"Eggerator","jetpacker06","/minecraft/mc-mods/eggerator/download/4611149","306","Jun 25, 2023","Jun 26, 2023","4.81 MB","1.19.4","Forge","Mods, Automation, Farming"
"Cataclysmic Combat","FaerMinded","/minecraft/mc-mods/cataclysmic-combat/download/4967185","447.4K","Jun 25, 2023","Dec 18, 2023","5.36 KB","1.20.1","Forge","Mods, Adventure and RPG, Addons, Armor, Tools, and Weapons"
"Progressive Core Unofficial","mcadventurecity","/minecraft/mc-mods/progressive-core-unofficial/download/4607950","85","Jun 25, 2023","Jun 25, 2023","796.82 KB","1.12.2","Forge","Mods, Ores and Resources, Tinker's Construct, Armor, Tools, and Weapons, Tinker's Construct, Adventure and RPG, Ores and Resources, Armor, Tools, and Weapons, Adventure and RPG"
"Corn! (Teosinte and Maize, and more!)","Pugtron","/minecraft/mc-mods/corn-teosinte-and-maize-and-more/download/4645995","77","Jun 25, 2023","Jul 15, 2023","1.90 MB","1.19.4","Forge","Mods, Food, MCreator"
"The Abyssal maze","terrariandy","/minecraft/mc-mods/the-abyssal-maze/download/4648255","160","Jun 25, 2023","Jul 16, 2023","809.09 KB","1.19.4","Forge","Mods, Dimensions, MCreator, Structures"
"The Project O","ZuperZV","/minecraft/mc-mods/the-project-o/download/4608993","89","Jun 24, 2023","Jun 25, 2023","7.39 MB","1.19.2","Forge","Mods, Armor, Tools, and Weapons"
